"property1","property2.href","property2.text","property3","property4","property5","property6","index","url"
"Rank","","Name","Hometown","Games","Total","Prize","1","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"1","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811791","Louis E Jenkins Jr","Warr Acres,OK","257,300,269","826","5500","2","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"2","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317816264","Chris Murray","San Jose,CA","268,266,268","802","4150","3","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"2","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317834419","Jon Trzcinski","Lake Wales,FL","243,289,270","802","4150","4","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"4","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317807545","Jeff Grego","Fort Wayne,IN","231,288,279","798","3200","5","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"5","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813270","Matt Riege","Waterloo,WI","258,279,255","792","3000","6","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"6","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817989","Jay Lang","Sterling Heights,MI","224,290,277","791","2800","7","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"7","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317805239","Derek Magno","Cicero,NY","289,265,234","788","2600","8","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"8","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813584","Justin Ziegler","Corona,CA","289,257,238","784","2300","9","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"8","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817691","Scott Safransky","Kenosha,WI","245,299,240","784","2300","10","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"10","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317800534","Terrence Blevins","Chicago,IL","257,300,226","783","2100","11","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"11","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317841232","Brad Slabaugh","Kokomo,IN","257,247,278","782","1862","12","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"11","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838253","Carl Boldt","Pontiac,MI","300,226,256","782","1862","13","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"11","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317812550","Kyle Martinez","Broken Arrow,OK","226,279,277","782","1862","14","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"11","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814057","Neil Cooley","Fremont,NE","279,246,257","782","1862","15","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"15","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317842484","Ken Harlan","Lubbock,TX","246,245,289","780","1700","16","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"16","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826655","Ken Konczos","Northfield,OH","248,278,253","779","1650","17","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"17","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826425","James Slagle Jr","Columbus,OH","230,258,288","776","1600","18","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"18","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317829335","Mason Sherman","Northridge,CA","240,257,278","775","1525","19","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"18","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811865","Dylan Murphy","Indianapolis,IN","252,247,276","775","1525","20","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"20","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317845018","Pat McGainey Jr","Baltimore,MD","279,267,228","774","1381","21","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"20","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821655","Brandon Fietek","Eden Prarie,MN","279,234,261","774","1381","22","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"20","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317829792","Ryan Reid","Maryland Heights,MO","249,279,246","774","1381","23","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"20","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317809640","Matt Kirkham","Rochester,MN","278,277,219","774","1381","24","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"24","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821386","Johnathan Bower","Middletown,PA","247,247,279","773","1298","25","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"29","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317290528","Bob Aleksinski","","288,258,222","768","N/A","26","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"24","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827661","Nick J Kokenos","Saint Clair Shores,MI","300,225,248","773","1298","27","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"24","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827822","Sammy Krucek Jr","Hammond,IN","278,237,258","773","1298","28","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"27","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831811","Mike Thomka","Bensenville,IL","265,218,289","772","1256","29","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"27","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317813454","Jason Porter","Ludington,MI","279,214,279","772","1256","30","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"27","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317803038","Bill Faerber","St Cloud,MN","278,247,247","772","1256","31","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"30","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827796","Bryan Bowers","Carlisle,IA","246,279,243","768","1229","32","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"31","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317802574","Damon Stalkfleet","Muscatine,IA","262,215,290","767","1217","33","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"32","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317841077","Joesph T Bofrone","Laurel,MD","256,264,246","766","1199","34","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"32","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811118","Michael S Walker II","Weedsport,NY","279,262,225","766","1199","35","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"34","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822358","Brian LeClair","Delmar,NY","242,244,279","765","1182","36","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"35","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317829387","Adam Ishman","Las Vegas,NV","278,264,222","764","1162","37","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"35","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317812463","Don Pyle","Wilmington,DE","279,259,226","764","1162","38","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"35","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317842103","Jonathan Corda","Williston Park,NY","238,247,279","764","1162","39","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"38","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317807222","Steven Taylor","deer creek,IL","248,248,267","763","1134","40","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"38","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831400","Scott Ward","Flushing,MI","279,248,236","763","1134","41","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"38","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820672","Dan Higgins","Westerville,OH","257,227,279","763","1134","42","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"41","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317835158","Carl J Kinyon","Lockport,NY","224,279,259","762","1116","43","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"42","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820951","Michael Eder","Madison,IN","257,237,267","761","1108","44","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"43","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317833880","Dennis Helmick","Rio Rancho,NM","247,235,278","760","1096","45","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"43","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822058","Eric Copping","Websterville,VT","248,246,266","760","1096","46","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"52","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317290397","Chip Aki","","279,237,240","756","N/A","47","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"45","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826543","Paul Gibson","Brunswick,OH","276,226,257","759","1081","48","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"45","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317807212","Brian Davis Sr","peoira,IL","300,257,202","759","1081","49","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317838106","Ben Canfield","San Diego,CA","225,269,264","758","1060","50","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317826417","Rebecca Williamson","Colonial Heights,VA","236,256,266","758","1060","51","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817758","William Welch","Hollywood,FL","245,234,279","758","1060","52","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"47","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317805529","Jace Peterson","Ocala,Fl","258,221,279","758","1060","53","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"51","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811532","Sam Carter","Ben Lomond,CA","234,267,256","757","1043","54","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"52","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811539","John Petroff","Wauwatosa,WI","268,244,244","756","1037","55","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"53","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824968","Mike Sagers","West Bountiful,UT","279,257,219","755","1030","56","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317801967","Dave Gajewski","Oak Creek,WI","266,240,248","754","1018","57","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317836626","Chris Kliczinski","Pinckney,MI","242,268,244","754","1018","58","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"54","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317835336","Marshal Morrison","Amarillo,TX","245,266,243","754","1018","59","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317834773","John Slavich IV","Schaumburg,IL","258,300,195","753","998","60","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317820533","David Labinski","Milwaukee,WI","251,238,264","753","998","61","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317824299","Rick Thomas","Willowbrook,IL","267,246,240","753","998","62","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"57","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317818505","Mark Sleeper Jr","Rowlett,TX","187,300,266","753","998","63","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317821008","Ronald Cleveland","Saint Paul,MN","258,265,229","752","980","64","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317817688","Timothy T Sowinski","Beach Park,IL","215,279,258","752","980","65","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"61","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317839817","Enrique Quinoa","Miami,FL","237,279,236","752","980","66","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814288","Todd Savoy","Superior,WI","217,268,266","751","960","67","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317814296","Derek Eoff","Madison,WI","248,258,245","751","960","68","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317822225","Ian Parker","Rochester,NY","216,300,235","751","960","69","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317806613","Steven R Howell","Fairview,NC","235,227,289","751","960","70","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"64","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317827951","Dean Richards","Tacoma,WA","227,267,257","751","960","71","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"69","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317831669","Charlie Rosset","Vernon Hills,IL","256,228,266","750","944","72","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"69","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317811429","Steve Hartman","West Lafayette,IN","257,289,204","750","944","73","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"71","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317840430","Herbert Jones","Downey,CA","265,237,247","749","934","74","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
"71","http://apps.bowl.com/tournaments/usbcopen/National/viewentry.aspx?e=317802751","Joe Lipan","Sheridan,OR","279,236,234","749","934","75","http://apps.bowl.com/tournaments/usbcopen/National/results.aspx?evt=3&di=1&ty=2014"
